Город;Регион;Федеральный округ;lat;lng
Ардон;Северная Осетия — Алания;Северо-Кавказский;43,175598;44,295621
Арзамас;Нижегородская область;Приволжский;55,386666;43,815687
Аркадак;Саратовская область;Приволжский;51,938814;43,499849
Армавир;Краснодарский край;Южный;44,997655;41,129644
Арсеньев;Приморский край;Дальневосточный;44,162084;133,269726
Арск;Татарстан;Приволжский;56,091311;49,876989
Артём;Приморский край;Дальневосточный;43,354804;132,18563
Артёмовск;Красноярский край;Сибирский;54,347336;93,435749
Артёмовский;Свердловская область;Уральский;57,338402;61,894651
Архангельск;Архангельская область;Северо-Западный;64,539393;40,516939
Асбест;Свердловская область;Уральский;57,005274;61,458114
Асино;Томская область;Сибирский;56,997514;86,153906
Астрахань;Астраханская область;Южный;46,347869;48,033574
Аткарск;Саратовская область;Приволжский;51,873632;45,000296
Ахтубинск;Астраханская область;Южный;48,284884;46,164413
Ачинск;Красноярский край;Сибирский;56,269496;90,495231
Аша;Челябинская область;Уральский;54,990628;57,278469
Бабаево;Вологодская область;Северо-Западный;59,389227;35,937759
Бабушкин;Бурятия;Сибирский;51,715833;105,864363
Бавлы;Татарстан;Приволжский;54,406333;53,245896
Багратионовск;Калининградская область;Северо-Западный;54,386509;20,639638
Байкальск;Иркутская область;Сибирский;51,522821;104,149928
Баймак;Башкортостан;Приволжский;52,591257;58,311199
Бакал;Челябинская область;Уральский;54,938064;58,809171
Баксан;Кабардино-Балкария;Северо-Кавказский;43,681939;43,534613
Балабаново;Калужская область;Центральный;55,177396;36,65677
Балаково;Саратовская область;Приволжский;52,018424;47,819667
Балахна;Нижегородская область;Приволжский;56,504556;43,602005
Балашиха;Московская область;Центральный;55,796339;37,938199
Балашов;Саратовская область;Приволжский;51,554601;43,146469
Балей;Забайкальский край;Сибирский;51,582284;116,637948
Балтийск;Калининградская область;Северо-Западный;54,644072;19,892177
Барабинск;Новосибирская область;Сибирский;55,350412;78,341923
Барнаул;Алтайский край;Сибирский;53,346785;83,776856
Барыш;Ульяновская область;Приволжский;53,653468;47,118029
Батайск;Ростовская область;Южный;47,138333;39,744469
БахчисарайОспаривается;Крым;Южный;44,754887;33,85214
Бежецк;Тверская область;Центральный;57,78567;36,693871
БелаяКалитва;Ростовская область;Южный;57,78567;36,693871
БелаяХолуница;Кировская область;Приволжский;57,78567;36,693871
Белгород;Белгородская область;Центральный;50,59566;36,587223
Белебей;Башкортостан;Приволжский;54,103441;54,111279
Белёв;Тульская область;Центральный;53,809934;36,130097
Белинский;Пензенская область;Приволжский;52,96562;43,408679
Белово;Кемеровская область;Сибирский;54,422114;86,303692
Белогорск;Амурская область;Дальневосточный;50,921287;128,473917
Белозерск;Вологодская область;Северо-Западный;60,030843;37,789016
Белокуриха;Алтайский край;Сибирский;51,99606;84,984004
Беломорск;Карелия;Северо-Западный;64,53032;34,763328
Белорецк;Башкортостан;Приволжский;53,967621;58,410023
Белореченск;Краснодарский край;Южный;44,761141;39,87114
Белоусово;Калужская область;Центральный;55,089516;36,657812
Белоярский;Ханты-Мансийский АО — Югра;Уральский;63,716043;66,667588
Белый;Тверская область;Центральный;55,83385;32,938805
Бердск;Новосибирская область;Сибирский;54,758288;83,107135
Березники;Пермский край;Приволжский;59,407922;56,804015
Берёзовский;Кемеровская область;Сибирский;56,910173;60,798203
Берёзовский;Свердловская область;Уральский;56,910173;60,798203
Беслан;Северная Осетия — Алания;Северо-Кавказский;43,19376;44,533792
Бийск;Алтайский край;Сибирский;52,539297;85,21382
Бикин;Хабаровский край;Дальневосточный;46,818592;134,255034
Билибино;Чукотский АО;Дальневосточный;68,057129;166,451139
Биробиджан;Еврейская АО;Дальневосточный;48,794668;132,921754
Бирск;Башкортостан;Приволжский;55,417531;55,530707
Бирюсинск;Иркутская область;Сибирский;55,960876;97,820453
Бирюч;Белгородская область;Центральный;50,648389;38,400553
Благовещенск;Башкортостан;Приволжский;50,28702;127,541025
Благовещенск;Амурская область;Дальневосточный;50,28702;127,541025
Благодарный;Ставропольский край;Северо-Кавказский;45,095649;43,440021
Бобров;Воронежская область;Центральный;51,097718;40,035604
Богданович;Свердловская область;Уральский;56,776502;62,046295
Богородицк;Тульская область;Центральный;53,770694;38,131687
Богородск;Нижегородская область;Приволжский;56,103362;43,516755
Боготол;Красноярский край;Сибирский;56,210117;89,531258
Богучар;Воронежская область;Центральный;49,935512;40,559079
Бокситогорск;Ленинградская область;Северо-Западный;59,473572;33,847675
Болгар;Татарстан;Приволжский;57,852118;114,198968
Бологое;Тверская область;Центральный;57,885626;34,053776
Болотное;Новосибирская область;Сибирский;55,672001;84,385447
Болохово;Тульская область;Центральный;54,082107;37,82679
Болхов;Орловская область;Центральный;53,443097;36,005087
БольшойКамень;Приморский край;Дальневосточный;53,443097;36,005087
Бор;Нижегородская область;Приволжский;56,356517;44,064575
Борзя;Забайкальский край;Сибирский;50,387629;116,523485
Борисоглебск;Воронежская область;Центральный;51,367725;42,074977
Боровичи;Новгородская область;Северо-Западный;58,388219;33,914025
Боровск;Калужская область;Центральный;55,207634;36,483584
Бородино;Красноярский край;Сибирский;55,905442;94,902177
Братск;Иркутская область;Сибирский;56,151362;101,63408
Бронницы;Московская область;Центральный;55,425471;38,264108
Брянск;Брянская область;Центральный;53,243562;34,363443
Бугульма;Татарстан;Приволжский;54,536413;52,789489
Бугуруслан;Оренбургская область;Приволжский;53,6523;52,432606
Будённовск;Ставропольский край;Северо-Кавказский;44,781528;44,165024
Бузулук;Оренбургская область;Приволжский;52,788116;52,262438
Буинск;Татарстан;Приволжский;54,964153;48,290142
Буй;Костромская область;Центральный;58,481719;41,533113
Буйнакск;Дагестан;Северо-Кавказский;42,821749;47,115927
Бутурлиновка;Воронежская область;Центральный;50,835367;40,584825
Валдай;Новгородская область;Северо-Западный;57,980199;33,246667
Валуйки;Белгородская область;Центральный;50,211194;38,099914
Велиж;Смоленская область;Центральный;55,603969;31,197214
ВеликиеЛуки;Псковская область;Северо-Западный;55,603969;31,197214
ВеликийНовгород;Новгородская область;Северо-Западный;55,603969;31,197214
ВеликийУстюг;Вологодская область;Северо-Западный;55,603969;31,197214
Вельск;Архангельская область;Северо-Западный;61,065915;42,10331
Венёв;Тульская область;Центральный;54,350369;38,265527
Верещагино;Пермский край;Приволжский;58,079761;54,658083
Верея;Московская область;Центральный;55,343369;36,185694
Верхнеуральск;Челябинская область;Уральский;53,876143;59,216953
ВерхнийТагил;Свердловская область;Уральский;53,876143;59,216953
ВерхнийУфалей;Челябинская область;Уральский;53,876143;59,216953
ВерхняяПышма;Свердловская область;Уральский;53,876143;59,216953
ВерхняяСалда;Свердловская область;Уральский;53,876143;59,216953
ВерхняяТура;Свердловская область;Уральский;53,876143;59,216953
Верхотурье;Свердловская область;Уральский;58,862216;60,810213
Верхоянск;Якутия;Дальневосточный;67,550161;133,390702
Весьегонск;Тверская область;Центральный;58,658355;37,259019
Ветлуга;Нижегородская область;Приволжский;57,852885;45,776099
Видное;Московская область;Центральный;55,557174;37,708644
Вилюйск;Якутия;Дальневосточный;63,751722;121,627326
Вилючинск;Камчатский край;Дальневосточный;52,906857;158,418296
Вихоревка;Иркутская область;Сибирский;56,120718;101,170396
Вичуга;Ивановская область;Центральный;57,217138;41,918149
Владивосток;Приморский край;Дальневосточный;43,115536;131,885485
Владикавказ;Северная Осетия — Алания;Северо-Кавказский;43,02115;44,68196
Владимир;Владимирская область;Центральный;56,129057;40,406635
Волгоград;Волгоградская область;Южный;48,707073;44,51693
Волгодонск;Ростовская область;Южный;47,516545;42,198423
Волгореченск;Костромская область;Центральный;57,439464;41,157456
Волжск;Марий Эл;Приволжский;55,862267;48,372041
Волжский;Волгоградская область;Южный;56,053804;48,555271
Вологда;Вологодская область;Северо-Западный;59,220496;39,891523
Володарск;Нижегородская область;Приволжский;56,21695;43,159729
Волоколамск;Московская область;Центральный;56,035728;35,958537
Волосово;Ленинградская область;Северо-Западный;59,447275;29,48481
Волхов;Ленинградская область;Северо-Западный;59,916744;32,331544
Волчанск;Свердловская область;Уральский;59,934934;60,078796
Вольск;Саратовская область;Приволжский;52,045978;47,38729
Воркута;Коми;Северо-Западный;67,49741;64,061091
Воронеж;Воронежская область;Центральный;51,660781;39,200269
Ворсма;Нижегородская область;Приволжский;55,98999;43,271955
Воскресенск;Московская область;Центральный;55,322978;38,673353
Воткинск;Удмуртия;Приволжский;57,051806;53,987392
Всеволожск;Ленинградская область;Северо-Западный;60,021317;30,654084
Вуктыл;Коми;Северо-Западный;63,844407;57,29984
Выборг;Ленинградская область;Северо-Западный;60,710232;28,749404
Выкса;Нижегородская область;Приволжский;55,320683;42,167961
Высоковск;Московская область;Центральный;56,320243;36,551236
Высоцк;Ленинградская область;Северо-Западный;60,625264;28,568016
Вытегра;Вологодская область;Северо-Западный;61,006355;36,449511
ВышнийВолочёк;Тверская область;Центральный;61,006355;36,449511
Вяземский;Хабаровский край;Дальневосточный;47,535352;134,755297
Вязники;Владимирская область;Центральный;56,247021;42,158862
Вязьма;Смоленская область;Центральный;55,205944;34,298037
ВятскиеПоляны;Кировская область;Приволжский;55,205944;34,298037
ГавриловПосад;Ивановская область;Центральный;55,205944;34,298037
Гаврилов-Ям;Ярославская область;Центральный;57,303309;39,849086
Гаджиево;Мурманская область;Северо-Западный;69,249049;33,315262
Галич;Костромская область;Центральный;58,381199;42,34749
Гатчина;Ленинградская область;Северо-Западный;59,568456;30,124473
Гвардейск;Калининградская область;Северо-Западный;54,647708;21,071341
Гдов;Псковская область;Северо-Западный;58,744393;27,819585
Геленджик;Краснодарский край;Южный;44,561141;38,076809
Георгиевск;Ставропольский край;Северо-Кавказский;44,148599;43,473896
Глазов;Удмуртия;Приволжский;58,14081;52,674235
Голицыно;Московская область;Центральный;55,615944;36,987117
Горбатов;Нижегородская область;Приволжский;56,130869;43,062701
Горно-Алтайск;Алтай;Сибирский;51,958182;85,960373
Горнозаводск;Пермский край;Приволжский;58,374682;58,330917
Горняк;Алтайский край;Сибирский;50,997775;81,464198
Городец;Нижегородская область;Приволжский;56,644822;43,472351
Городище;Пензенская область;Приволжский;53,272758;45,70267
Городовиковск;Калмыкия;Южный;46,083105;41,936052
Гороховец;Владимирская область;Центральный;56,201695;42,691194
ГорячийКлюч;Краснодарский край;Южный;56,201695;42,691194
Грайворон;Белгородская область;Центральный;50,486223;35,666351
Гремячинск;Пермский край;Приволжский;58,562599;57,852034
Грозный;Чечня;Северо-Кавказский;43,317776;45,694909
Грязи;Липецкая область;Центральный;52,496186;39,95533
Грязовец;Вологодская область;Северо-Западный;58,875793;40,248423
Губаха;Пермский край;Приволжский;58,837018;57,554575
Губкин;Белгородская область;Центральный;51,283644;37,534748
Губкинский;Ямало-Ненецкий АО;Уральский;51,18651;37,380687
Гудермес;Чечня;Северо-Кавказский;43,35188;46,103535
Гуково;Ростовская область;Южный;48,058442;39,940274
Гулькевичи;Краснодарский край;Южный;45,360342;40,695227
Гурьевск;Калининградская область;Северо-Западный;54,285935;85,947635
Гурьевск;Кемеровская область;Сибирский;54,285935;85,947635
Гусев;Калининградская область;Северо-Западный;54,591841;22,201117
Гусиноозёрск;Бурятия;Сибирский;51,285526;106,529323
Гусь-Хрустальный;Владимирская область;Центральный;55,619818;40,657902
Давлеканово;Башкортостан;Приволжский;54,222727;55,03127
ДагестанскиеОгни;Дагестан;Северо-Кавказский;54,222727;55,03127
Далматово;Курганская область;Уральский;56,258608;62,939311
Дальнегорск;Приморский край;Дальневосточный;44,554018;135,566179
Дальнереченск;Приморский край;Дальневосточный;45,93085;133,731738
Данилов;Ярославская область;Центральный;58,187861;40,174815
Данков;Липецкая область;Центральный;53,246197;39,134414
Дегтярск;Свердловская область;Уральский;56,698463;60,086674
Дедовск;Московская область;Центральный;55,859984;37,120669
Демидов;Смоленская область;Центральный;55,26444;31,515011
Дербент;Дагестан;Северо-Кавказский;42,057669;48,288776
Десногорск;Смоленская область;Центральный;54,152366;33,287872
Дзержинск;Нижегородская область;Приволжский;56,238377;43,461625
Дзержинский;Московская область;Центральный;55,630939;37,849616
Дивногорск;Красноярский край;Сибирский;55,957721;92,380148
Дигора;Северная Осетия — Алания;Северо-Кавказский;43,156732;44,155035
Димитровград;Ульяновская область;Приволжский;54,217715;49,621984
Дмитриев;Курская область;Центральный;52,127774;35,080353
Дмитров;Московская область;Центральный;56,343942;37,520348
Дмитровск;Орловская область;Центральный;52,505434;35,14151
Дно;Псковская область;Северо-Западный;57,826914;29,962992
Добрянка;Пермский край;Приволжский;58,468063;56,403986
Долгопрудный;Московская область;Центральный;55,933564;37,514104
Долинск;Сахалинская область;Дальневосточный;47,32624;142,79344
Донецк;Ростовская область;Южный;48,015877;37,80285
Донской;Тульская область;Центральный;47,992758;37,915058
Дорогобуж;Смоленская область;Центральный;54,912677;33,297035
Дрезна;Московская область;Центральный;55,741404;38,842371
Дубна;Московская область;Центральный;56,744002;37,173176
Дубовка;Волгоградская область;Южный;49,055369;44,826957
Дудинка;Красноярский край;Сибирский;69,403081;86,190854
Духовщина;Смоленская область;Центральный;55,191351;32,414171
Дюртюли;Башкортостан;Приволжский;55,48529;54,873463
Егорьевск;Московская область;Центральный;55,38305;39,035833
Ейск;Краснодарский край;Южный;46,711524;38,276451
Екатеринбург;Свердловская область;Уральский;56,838011;60,597465
Елабуга;Татарстан;Приволжский;55,75667;52,05446
Елец;Липецкая область;Центральный;52,62419;38,503653
Елизово;Камчатский край;Дальневосточный;53,183053;158,388355
Ельня;Смоленская область;Центральный;54,575906;33,182734
Еманжелинск;Челябинская область;Уральский;54,752147;61,317223
Емва;Коми;Северо-Западный;62,598375;50,886569
Енисейск;Красноярский край;Сибирский;58,453069;92,173769
Ермолино;Калужская область;Центральный;55,197204;36,5952
Ершов;Саратовская область;Приволжский;51,352068;48,283494
Ессентуки;Ставропольский край;Северо-Кавказский;44,044526;42,85891
Железноводск;Ставропольский край;Северо-Кавказский;44,132058;43,030533
Железногорск;Красноярский край;Сибирский;52,337971;35,351743
Железногорск;Курская область;Центральный;52,337971;35,351743
Железногорск-Илимский;Иркутская область;Сибирский;56,584843;104,114283
Жердевка;Тамбовская область;Центральный;51,842282;41,461796
Жигулёвск;Самарская область;Приволжский;53,401714;49,494657
Жиздра;Калужская область;Центральный;53,749114;34,734447
Жирновск;Волгоградская область;Южный;50,978713;44,778834
Жуков;Калужская область;Центральный;55,03167;36,746503
Жуковка;Брянская область;Центральный;53,533062;33,732547
Жуковский;Московская область;Центральный;53,498298;33,774598
Завитинск;Амурская область;Дальневосточный;50,106518;129,439309
Заводоуковск;Тюменская область;Уральский;56,508808;66,539174
Заволжск;Ивановская область;Центральный;57,491737;42,137491
Заволжье;Нижегородская область;Приволжский;56,640441;43,387164
Задонск;Липецкая область;Центральный;52,391972;38,919456
Заинск;Татарстан;Приволжский;55,298984;52,006391
Закаменск;Бурятия;Сибирский;50,372602;103,286764
Заозёрный;Красноярский край;Сибирский;55,961818;94,709228
Заозёрск;Мурманская область;Северо-Западный;69,400373;32,450139
ЗападнаяДвина;Тверская область;Центральный;69,400373;32,450139
Заполярный;Мурманская область;Северо-Западный;69,426103;30,820739
Зарайск;Московская область;Центральный;54,756973;38,874845
Заречный;Пензенская область;Приволжский;53,19611;45,169071
Заречный;Свердловская область;Уральский;53,19611;45,169071
Заринск;Алтайский край;Сибирский;53,706332;84,931488
Звенигово;Марий Эл;Приволжский;55,972312;48,01532
Звенигород;Московская область;Центральный;55,729686;36,855325
Зверево;Ростовская область;Южный;55,499999;36,926211
Зеленогорск;Красноярский край;Сибирский;56,113246;94,589006
Зеленоградск;Калининградская область;Северо-Западный;54,95993;20,475354
Зеленодольск;Татарстан;Приволжский;55,846906;48,500617
Зеленокумск;Ставропольский край;Северо-Кавказский;44,403288;43,884148
Зерноград;Ростовская область;Южный;46,849564;40,312815
Зея;Амурская область;Дальневосточный;53,734033;127,265889
Зима;Иркутская область;Сибирский;53,92072;102,049065
Златоуст;Челябинская область;Уральский;55,172871;59,671841
Злынка;Брянская область;Центральный;52,427384;31,737075
Змеиногорск;Алтайский край;Сибирский;51,158015;82,18727
Знаменск;Астраханская область;Южный;48,586634;45,736744
Зубцов;Тверская область;Центральный;56,176143;34,58256
Зуевка;Кировская область;Приволжский;58,403217;51,133426
Ивангород;Ленинградская область;Северо-Западный;59,376655;28,223117
Иваново;Ивановская область;Центральный;57,000348;40,973921
Ивантеевка;Московская область;Центральный;55,971718;37,924338
Ивдель;Свердловская область;Уральский;60,697349;60,41729
Игарка;Красноярский край;Сибирский;67,466954;86,567715
Ижевск;Удмуртия;Приволжский;56,852593;53,204843
Избербаш;Дагестан;Северо-Кавказский;42,565141;47,871078
Изобильный;Ставропольский край;Северо-Кавказский;45,368536;41,708644
Иланский;Красноярский край;Сибирский;56,238552;96,065297
Инза;Ульяновская область;Приволжский;53,857035;46,351649
Иннополис;Татарстан;Приволжский;55,75208;48,744609
Инсар;Мордовия;Приволжский;53,866508;44,372248
Инта;Коми;Северо-Западный;66,03682;60,115367
Ипатово;Ставропольский край;Северо-Кавказский;45,717419;42,911147
Ирбит;Свердловская область;Уральский;57,683819;63,057664
Иркутск;Иркутская область;Сибирский;52,287054;104,281047
Исилькуль;Омская область;Сибирский;54,911844;71,266945
Искитим;Новосибирская область;Сибирский;54,642582;83,306382
Истра;Московская область;Центральный;55,914287;36,860284
Ишим;Тюменская область;Уральский;56,11055;69,479639
Ишимбай;Башкортостан;Приволжский;53,454621;56,04395
Йошкар-Ола;Марий Эл;Приволжский;56,630842;47,886089
Кадников;Вологодская область;Северо-Западный;59,503767;40,34404
Казань;Татарстан;Приволжский;55,796289;49,108795
Калач;Воронежская область;Центральный;50,424119;41,01624
Калач-на-Дону;Волгоградская область;Южный;48,681995;43,538234
Калачинск;Омская область;Сибирский;55,052608;74,581782
Калининград;Калининградская область;Северо-Западный;54,70739;20,507307
Калининск;Саратовская область;Приволжский;51,499671;44,48548
Калтан;Кемеровская область;Сибирский;53,521083;87,27716
Калуга;Калужская область;Центральный;54,513845;36,261215
Калязин;Тверская область;Центральный;57,240412;37,855078
Камбарка;Удмуртия;Приволжский;56,266057;54,193358
Каменка;Пензенская область;Приволжский;53,185524;44,046896
Каменногорск;Ленинградская область;Северо-Западный;60,95081;29,130882
Каменск-Уральский;Свердловская область;Уральский;56,414927;61,918708
Каменск-Шахтинский;Ростовская область;Южный;48,320515;40,268923
Камень-на-Оби;Алтайский край;Сибирский;53,791486;81,354558
Камешково;Владимирская область;Центральный;56,348916;40,995588
Камызяк;Астраханская область;Южный;46,110571;48,073235
Камышин;Волгоградская область;Южный;50,083698;45,407367
Камышлов;Свердловская область;Уральский;56,846578;62,712288
Канаш;Чувашия;Приволжский;55,506943;47,491764
Кандалакша;Мурманская область;Северо-Западный;67,151252;32,412823
Канск;Красноярский край;Сибирский;56,205045;95,705055
Карабаново;Владимирская область;Центральный;56,313269;38,703438
Карабаш;Челябинская область;Уральский;55,490789;60,203042
Карабулак;Ингушетия;Северо-Кавказский;43,305594;44,909404
Карасук;Новосибирская область;Сибирский;53,734294;78,042389
Карачаевск;Карачаево-Черкесия;Северо-Кавказский;43,773167;41,914313
Карачев;Брянская область;Центральный;53,121594;34,982796
Каргат;Новосибирская область;Сибирский;55,194476;80,283039
Каргополь;Архангельская область;Северо-Западный;61,505339;38,948166
Карпинск;Свердловская область;Уральский;59,766534;60,001227
Карталы;Челябинская область;Уральский;53,053681;60,647753
Касимов;Рязанская область;Центральный;54,937288;41,391368
Касли;Челябинская область;Уральский;55,893652;60,765918
Каспийск;Дагестан;Северо-Кавказский;42,890833;47,635674
Катав-Ивановск;Челябинская область;Уральский;54,752074;58,198443
Катайск;Курганская область;Уральский;56,283235;62,58365
Качканар;Свердловская область;Уральский;58,70511;59,483959
Кашин;Тверская область;Центральный;57,358381;37,61344
Кашира;Московская область;Центральный;54,834589;38,15154
Кедровый;Томская область;Сибирский;57,560963;79,566965
Кемерово;Кемеровская область;Сибирский;55,354727;86,088374
Кемь;Карелия;Северо-Западный;64,955532;34,598371
КерчьОспаривается;Крым;Южный;45,356219;36,467378
Кизел;Пермский край;Приволжский;59,049425;57,653875
Кизилюрт;Дагестан;Северо-Кавказский;43,204637;46,866878
Кизляр;Дагестан;Северо-Кавказский;43,84738;46,711685
Кимовск;Тульская область;Центральный;53,972149;38,533063
Кимры;Тверская область;Центральный;56,873338;37,355678
Кингисепп;Ленинградская область;Северо-Западный;59,374028;28,611297
Кинель;Самарская область;Приволжский;53,221004;50,634394
Кинешма;Ивановская область;Центральный;57,442544;42,168923
Киреевск;Тульская область;Центральный;53,934944;37,928542
Киренск;Иркутская область;Сибирский;57,775723;108,110816
Киржач;Владимирская область;Центральный;56,161709;38,872052
Кириллов;Вологодская область;Северо-Западный;59,859059;38,374933
Кириши;Ленинградская область;Северо-Западный;59,449695;32,008707
Киров;Калужская область;Центральный;58,603581;49,667978
Киров;Кировская область;Приволжский;58,603581;49,667978
Кировград;Свердловская область;Уральский;57,432415;60,062896
Кирово-Чепецк;Кировская область;Приволжский;58,556581;50,043932
Кировск;Ленинградская область;Северо-Западный;67,612101;33,668165
Кировск;Мурманская область;Северо-Западный;67,612101;33,668165
Кирс;Кировская область;Приволжский;59,339987;52,241516
Кирсанов;Тамбовская область;Центральный;52,650646;42,728663
Киселёвск;Кемеровская область;Сибирский;54,006025;86,636679
Кисловодск;Ставропольский край;Северо-Кавказский;43,905225;42,716796
Клин;Московская область;Центральный;56,331693;36,728716
Клинцы;Брянская область;Центральный;52,753143;32,233852
Княгинино;Нижегородская область;Приволжский;55,820566;45,032249
Ковдор;Мурманская область;Северо-Западный;67,562914;30,474025
Ковылкино;Мордовия;Приволжский;54,039201;43,919056
Когалым;Ханты-Мансийский АО — Югра;Уральский;62,264069;74,482761
Кодинск;Красноярский край;Сибирский;58,603398;99,179748
Козельск;Калужская область;Центральный;54,034823;35,78226
Козловка;Чувашия;Приволжский;55,840386;48,245127
Козьмодемьянск;Марий Эл;Приволжский;56,344167;46,568107
Кола;Мурманская область;Северо-Западный;68,878636;33,026247
Кологрив;Костромская область;Центральный;58,826929;44,318762
Коломна;Московская область;Центральный;55,103152;38,752917
Колпашево;Томская область;Сибирский;58,311384;82,902679
Кольчугино;Владимирская область;Центральный;56,293901;39,376042
Коммунар;Ленинградская область;Северо-Западный;59,621609;30,393483
Комсомольск;Ивановская область;Центральный;57,027394;40,37761
Комсомольск-на-Амуре;Хабаровский край;Дальневосточный;50,549923;137,007948
Конаково;Тверская область;Центральный;56,713217;36,779309
Кондопога;Карелия;Северо-Западный;62,20475;34,272758
Кондрово;Калужская область;Центральный;54,80743;35,926647
Константиновск;Ростовская область;Южный;47,577341;41,096694
Копейск;Челябинская область;Уральский;55,116732;61,61797
Кораблино;Рязанская область;Центральный;53,926812;40,034463
Кореновск;Краснодарский край;Южный;45,462742;39,448033
Коркино;Челябинская область;Уральский;54,892493;61,393049
Королёв;Московская область;Центральный;55,922212;37,854629
Короча;Белгородская область;Центральный;50,811036;37,194942
Корсаков;Сахалинская область;Дальневосточный;46,63498;142,78257
Коряжма;Архангельская область;Северо-Западный;61,315335;47,159855
Костерёво;Владимирская область;Центральный;55,933701;39,624732
Костомукша;Карелия;Северо-Западный;64,588014;30,598361
Кострома;Костромская область;Центральный;57,767961;40,926858
Котельники;Московская область;Центральный;55,65984;37,863199
Котельниково;Волгоградская область;Южный;47,631528;43,142625
Котельнич;Кировская область;Приволжский;58,303426;48,347508
Котлас;Архангельская область;Северо-Западный;61,25297;46,633217
Котово;Волгоградская область;Южный;50,322058;44,801319
Котовск;Тамбовская область;Центральный;52,59292;41,50575
Кохма;Ивановская область;Центральный;56,932531;41,093208
Красавино;Вологодская область;Северо-Западный;60,961377;46,481474
Красноармейск;Московская область;Центральный;56,120959;38,14094
Красноармейск;Саратовская область;Приволжский;56,120959;38,14094
Красновишерск;Пермский край;Приволжский;60,412821;57,083301
Красногорск;Московская область;Центральный;55,831099;37,330192
Краснодар;Краснодарский край;Южный;45,03547;38,975313
Краснозаводск;Московская область;Центральный;56,439338;38,245261
Краснознаменск;Калининградская область;Северо-Западный;55,600506;37,042489
Краснознаменск;Московская область;Центральный;55,600506;37,042489
Краснокаменск;Забайкальский край;Сибирский;50,09372;118,033256
Краснокамск;Пермский край;Приволжский;58,078357;55,736376
Краснослободск;Волгоградская область;Южный;54,424901;43,784435
Краснослободск;Мордовия;Приволжский;54,424901;43,784435
Краснотурьинск;Свердловская область;Уральский;59,763761;60,193493
Красноуральск;Свердловская область;Уральский;58,35369;60,055961
Красноуфимск;Свердловская область;Уральский;56,617744;57,770692
Красноярск;Красноярский край;Сибирский;56,010563;92,852572
КрасныйКут;Саратовская область;Приволжский;56,010563;92,852572
КрасныйСулин;Ростовская область;Южный;56,010563;92,852572
КрасныйХолм;Тверская область;Центральный;56,010563;92,852572
Кремёнки;Калужская область;Центральный;54,887036;37,116232
Кропоткин;Краснодарский край;Южный;45,434686;40,575994
Крымск;Краснодарский край;Южный;44,934986;37,986196
Кстово;Нижегородская область;Приволжский;56,15067;44,206751
Кубинка;Московская область;Центральный;55,575556;36,695209
Кувандык;Оренбургская область;Приволжский;51,478483;57,361168
Кувшиново;Тверская область;Центральный;57,028957;34,165877
Кудрово;Ленинградская область;Северо-Западный;59,908489;30,513569
Кудымкар;Пермский край;Приволжский;59,014548;54,664183
Кузнецк;Пензенская область;Приволжский;53,119335;46,601165
Куйбышев;Новосибирская область;Сибирский;53,195538;50,101783
Кукмор;Татарстан;Приволжский;56,186599;50,893981
Кулебаки;Нижегородская область;Приволжский;55,429716;42,512483
Кумертау;Башкортостан;Приволжский;52,756523;55,796976
Кунгур;Пермский край;Приволжский;57,42881;56,944206
